2,129,1,15,4,1,1,1,0,0,0
1,10,0,5,2,0,0,1,0,0,0
1,7,0,6,2,1,0,1,0,0,0
1,43,0,7,2,1,0,1,1,0,0
2,286,0,9,3,1,1,0,0,1,0
1,27,1,6,3,0,1,1,0,0,0
1,21,0,10,3,1,0,1,1,0,0
1,163,0,7,3,1,1,1,0,0,0
1,136,1,11,3,1,0,0,0,1,3
1,12,0,7,2,1,0,1,0,0,0
2,107,0,19,5,1,1,0,0,1,4
1,123,2,8,3,1,1,0,1,0,0
1,15,1,10,1,0,0,1,0,1,0
1,20,0,6,2,0,0,1,0,1,0
1,18,1,7,2,1,1,1,0,0,0
1,76,0,9,3,0,0,0,0,1,0
2,56,0,6,3,1,1,0,0,1,0
1,11,0,7,2,0,1,0,1,0,0
1,21,0,7,3,0,1,0,0,0,0
1,24,0,5,1,0,0,0,0,1,0
1,17,1,6,3,0,1,1,1,0,0
1,9,0,7,1,0,0,0,0,1,1
1,72,1,13,3,1,0,1,0,0,0
1,15,1,5,1,1,0,0,1,0,0
1,42,3,5,1,0,0,1,1,0,0
1,53,10,14,2,1,0,1,1,0,0
1,69,1,14,3,0,1,1,0,1,0
1,78,3,7,2,1,1,1,0,0,0
2,83,0,9,4,1,1,0,0,0,0
2,27,0,7,3,0,1,0,0,1,0
2,41,0,8,3,0,1,0,1,1,0
2,189,0,9,3,0,1,1,0,1,0
2,153,1,11,4,1,1,0,0,0,0
2,318,11,14,4,0,0,1,0,1,2
2,47,2,9,2,1,0,1,0,0,0
2,108,5,5,3,1,1,0,0,0,0
2,91,0,11,3,1,1,1,0,0,0
2,126,1,6,2,0,1,1,0,0,0
2,50,3,10,2,1,0,1,0,0,0
2,79,1,13,3,1,0,1,0,1,0
3,197,2,13,3,1,0,1,0,0,0
2,149,0,7,3,1,1,1,0,0,0
2,53,0,8,3,1,0,1,0,0,0
2,276,6,8,1,0,1,1,0,0,1
2,214,6,7,2,0,1,1,0,0,0
2,104,3,8,3,1,0,0,1,0,0
2,100,27,7,3,0,1,1,0,0,0
2,60,3,8,2,0,1,1,0,0,0
2,159,2,10,2,0,1,1,1,0,0
2,57,3,11,2,0,1,1,0,0,0
2,94,4,6,3,0,1,1,0,0,0
2,220,10,21,3,0,1,1,0,1,0
2,27,2,9,2,0,1,1,0,0,0
2,143,57,13,3,1,0,1,0,0,0
3,87,0,9,4,0,1,0,1,0,0
4,266,2,14,6,0,0,1,0,1,0
3,177,0,15,3,0,1,1,0,1,0
4,442,2,19,5,1,0,1,0,0,0
4,1395,11,30,9,0,1,1,0,0,3
4,851,4,26,6,1,0,1,0,1,0
3,421,3,14,4,0,0,0,1,1,2
3,226,16,23,4,0,1,0,1,1,1
4,384,29,25,7,1,0,1,0,0,2
